Programme,Cut-Off,Demand,Category,Level
BSc Biomedical Engineering,6,Very High,Engineering,Degree
Bachelor of Laws (LLB),7,Very High,Law,Degree
BSc Computer Engineering,7,Very High,Engineering,Degree
BSc Computer Science,7,Very High,Science,Degree
MBChB Medicine,8,Very High,Health,Degree
BSc Administration,9,High,Business,Degree
BSc Public Health,9,High,Health Sciences,Degree
Bachelor of Dental Surgery,10,High,Science,Degree
BSc Biomedical Sciences,10,High,Science,Degree
BSc Information Technology,10,High,Science,Degree
Doctor of Pharmacy,10,High,Health,Degree
BSc Actuarial Science,11,High,Science,Degree
BSc Biochemistry Cell and Molecular Biology,12,High,Science,Degree
BSc Food Process Engineering,12,High,Engineering,Degree
BSc Mathematics,12,High,Science,Degree
BSc Medical Laboratory Science,12,High,Health Sciences,Degree
BSc Statistics,12,High,Science,Degree
LLB Law - Accra City Campus (Weekend),12,High,Law,Degree
BSc Materials Science and Engineering,13,Medium,Engineering,Degree
BSc Radiography,13,Medium,Health Sciences,Degree
BA Communication Studies,14,Medium,Arts,Degree
BA Economics,14,Medium,Social Science,Degree
BSc Biological Sciences,14,Medium,Science,Degree
BSc Dietetics,14,Medium,Health Sciences,Degree
BSc Physiotherapy,14,Medium,Health Sciences,Degree
Doctor of Veterinary Medicine,14,Medium,Science,Degree
BA Psychology,15,Medium,Social Science,Degree
BSc Agricultural Engineering,15,Medium,Engineering,Degree
BSc Earth Science,15,Medium,Science,Degree
BSc Midwifery,15,Medium,Health Sciences,Degree
BSc Nursing,15,Medium,Health Sciences,Degree
BSc Occupational Therapy,15,Medium,Health Sciences,Degree
BA Political Science,16,Medium,Arts,Degree
BSc Chemistry,16,Medium,Science,Degree
BSc Geology,16,Medium,Science,Degree
BSc Nutrition and Food Science,16,Medium,Science,Degree
BSc Physics,16,Medium,Science,Degree
BA English,18,Medium,Arts,Degree
BA Geography and Resource Development,18,Medium,Social Science,Degree
BA Sociology,18,Medium,Arts,Degree
BSc Agribusiness,18,Medium,Agriculture,Degree
BSc Environmental Science,18,Medium,Science,Degree
BSc Food Science and Nutrition,18,Medium,Science,Degree
BSc Geography and Resource Development,18,Medium,Science,Degree
BSc Planning,18,Medium,Built Environment,Degree
BA African Studies,20,Low,Arts,Degree
BA Education and Psychology,20,Low,Education,Degree
BA History,20,Low,Arts,Degree
BA Social Work,20,Low,Social Science,Degree
BSc Agriculture,20,Low,Agriculture,Degree
BSc Animal Science,20,Low,Agriculture,Degree
BSc Crop Science,20,Low,Agriculture,Degree
BSc Family and Consumer Sciences,20,Low,Sciences,Degree
BSc Marine and Fisheries Science,20,Low,Science,Degree
BSc Population and Health,20,Low,Social Science,Degree
BA Adult Education,22,Low,Education,Degree
BA Chinese,22,Low,Arts,Degree
BA Economics - Accra City Campus,22,Low,Social Sciences,Degree
BA French,22,Low,Arts,Degree
BA Information Studies,22,Low,Arts,Degree
BA Linguistics,22,Low,Arts,Degree
BA Philosophy & Classics,22,Low,Arts,Degree
BA Spanish,22,Low,Arts,Degree
BA Theatre Arts,22,Low,Arts,Degree
BSc Administration (Accounting) - Accra City Campus,22,Low,Business,Degree
BSc Administration (Banking & Finance) - Accra City Campus,22,Low,Business,Degree
BSc Administration (Human Resource Management) - Accra City Campus,22,Low,Business,Degree
BSc Administration (Marketing) - Accra City Campus,22,Low,Business,Degree
BSc Administration (Public Administration) - Accra City Campus,22,Low,Business,Degree
BSc Family Resource Management,22,Low,Sciences,Degree
BSc Home Science,22,Low,Sciences,Degree
BSc Recreation and Social Psychology,22,Low,Social Sciences,Degree
BSc Soil Science,22,Low,Agriculture,Degree
BSc Sports Science,22,Low,Sciences,Degree
BA Akuapem Twi,24,Low,Arts,Degree
BA Arabic,24,Low,Arts,Degree
BA Archaeology and Heritage Studies,24,Low,Arts,Degree
BA Dagbani,24,Low,Arts,Degree
BA Dance Studies,24,Low,Arts,Degree
BA Ga,24,Low,Arts,Degree
BA Information Studies - Accra City Campus,24,Low,Arts & Humanities,Degree
BA Music,24,Low,Arts,Degree
BA Portuguese,24,Low,Arts,Degree
BA Russian,24,Low,Arts,Degree
BA Sociology - Accra City Campus,24,Low,Social Sciences,Degree
BA Study of Religions,24,Low,Arts,Degree
BA Swahili,24,Low,Arts,Degree
BFA Dance,24,Low,Arts,Degree
BFA Music,24,Low,Arts,Degree
BFA Theatre Arts,24,Low,Arts,Degree
BSc Accounting (Distance),24,Low,Business,Degree
BSc Information Technology (Distance),24,Low,Technology,Degree
BA Psychology (Distance),26,Low,Social Science,Degree
BSc Marketing (Distance),26,Low,Business,Degree
BA English (Distance),28,Low,Arts,Degree
BA Political Science (Distance),28,Low,Social Science,Degree
BA Sociology (Distance),28,Low,Social Science,Degree
BA Administration (Distance),30,Low,Business,Degree
BSc Administration (Evening),30,Low,Business,Degree
Diploma in Accounting,30,Low,Business,Diploma
Diploma in Adult Education,30,Low,Education,Diploma
Diploma in Development Education,30,Low,Education,Diploma
Diploma in Librarianship,30,Low,Arts,Diploma
Diploma in Public Administration,30,Low,Business,Diploma
Diploma in Youth in Development,30,Low,Arts,Diploma
BA Economics (Evening),32,Low,Business,Degree
BA Psychology (Evening),32,Low,Arts,Degree
BA Sociology (Evening),34,Low,Arts,Degree
